Singular Value Index,Min Pixel Deviation,Max Pixel Deviation
288,-8.0,8.0
289,-8.0,8.0
290,-7.0,8.0
291,-7.0,8.0
292,-7.0,8.0
293,-7.0,8.0
294,-7.0,8.0
295,-7.0,8.0
296,-7.0,8.0
297,-7.0,8.0
298,-7.0,8.0
299,-7.0,8.0
300,-7.0,8.0
301,-7.0,8.0
302,-7.0,8.0
303,-7.0,8.0
304,-7.0,8.0
305,-6.0,8.0
306,-6.0,8.0
307,-6.0,8.0
308,-6.0,8.0
309,-6.0,8.0
310,-6.0,8.0
311,-6.0,8.0
312,-6.0,8.0
313,-6.0,8.0
314,-6.0,7.0
315,-6.0,7.0
316,-6.0,7.0
317,-6.0,7.0
318,-6.0,7.0
319,-6.0,7.0
320,-6.0,7.0
321,-6.0,7.0
322,-6.0,7.0
323,-6.0,7.0
324,-6.0,7.0
325,-6.0,7.0
326,-6.0,7.0
327,-6.0,7.0
328,-6.0,7.0
329,-6.0,7.0
330,-6.0,7.0
331,-6.0,7.0
332,-6.0,7.0
333,-6.0,6.0
334,-6.0,6.0
335,-5.0,6.0
336,-5.0,6.0
337,-5.0,6.0
338,-5.0,6.0
339,-5.0,6.0
340,-5.0,6.0
341,-5.0,6.0
342,-5.0,6.0
343,-5.0,6.0
344,-5.0,5.0
345,-5.0,5.0
346,-5.0,5.0
347,-5.0,5.0
348,-5.0,5.0
349,-5.0,5.0
350,-5.0,5.0
351,-5.0,5.0
352,-4.0,5.0
353,-4.0,5.0
354,-4.0,4.0
355,-4.0,5.0
356,-4.0,5.0
357,-4.0,5.0
358,-4.0,5.0
359,-4.0,4.0
360,-4.0,4.0
361,-4.0,4.0
362,-4.0,4.0
363,-4.0,4.0
364,-4.0,4.0
365,-4.0,4.0
366,-4.0,4.0
367,-4.0,4.0
368,-4.0,4.0
369,-4.0,4.0
370,-4.0,4.0
371,-4.0,4.0
372,-4.0,4.0
373,-3.0,4.0
374,-3.0,4.0
375,-3.0,4.0
376,-3.0,4.0
377,-3.0,4.0
378,-3.0,4.0
379,-3.0,3.0
380,-3.0,3.0
381,-3.0,3.0
382,-3.0,3.0
383,-3.0,3.0
384,-3.0,3.0
385,-3.0,3.0
386,-3.0,3.0
387,-3.0,3.0
388,-3.0,3.0
389,-2.0,3.0
390,-2.0,3.0
391,-2.0,3.0
392,-2.0,3.0
393,-2.0,3.0
394,-2.0,3.0
395,-2.0,3.0
396,-2.0,3.0
397,-2.0,3.0
398,-2.0,3.0
399,-2.0,3.0
400,-2.0,3.0
401,-2.0,3.0
402,-2.0,3.0
403,-2.0,3.0
404,-2.0,3.0
405,-2.0,3.0
406,-2.0,3.0
407,-2.0,2.0
408,-2.0,2.0
409,-2.0,3.0
410,-2.0,3.0
411,-2.0,2.0
412,-2.0,2.0
413,-2.0,2.0
414,-2.0,3.0
415,-2.0,2.0
416,-2.0,2.0
417,-2.0,2.0
418,-1.0,2.0
419,-1.0,2.0
420,-1.0,2.0
421,-1.0,2.0
422,-1.0,2.0
423,-1.0,2.0
424,-1.0,2.0
425,-1.0,2.0
426,-1.0,2.0
427,-1.0,2.0
428,-1.0,2.0
429,-1.0,2.0
430,-1.0,2.0
431,-1.0,2.0
432,-1.0,2.0
433,-1.0,2.0
434,-1.0,2.0
435,-1.0,2.0
436,-1.0,2.0
437,-1.0,2.0
438,-1.0,2.0
439,-1.0,2.0
440,-1.0,2.0
441,-1.0,2.0
442,-1.0,2.0
443,-1.0,2.0
444,-1.0,2.0
445,-1.0,2.0
446,-1.0,2.0
447,-1.0,2.0
448,-1.0,2.0
449,-1.0,2.0
450,-1.0,2.0
451,-1.0,2.0
452,-1.0,2.0
453,-1.0,2.0
454,-1.0,2.0
455,-1.0,2.0
456,-1.0,2.0
457,-1.0,2.0
458,-1.0,2.0
459,-1.0,2.0
460,-1.0,2.0
461,-1.0,2.0
462,-1.0,2.0
463,-1.0,2.0
464,-1.0,2.0
465,-1.0,2.0
466,-1.0,2.0
467,-1.0,2.0
468,-1.0,2.0
469,-1.0,2.0
470,-1.0,2.0
471,-1.0,2.0
472,-1.0,2.0
473,-1.0,2.0
474,-1.0,2.0
475,-1.0,2.0
476,-1.0,2.0
477,-1.0,2.0
478,-1.0,2.0
479,-1.0,2.0
480,-1.0,2.0
481,-1.0,2.0
482,-1.0,2.0
483,-1.0,2.0
484,-1.0,2.0
485,-1.0,2.0
486,-1.0,2.0
487,-1.0,2.0
488,-1.0,2.0
489,-1.0,2.0
490,-1.0,2.0
491,-1.0,2.0
492,-1.0,2.0
493,-1.0,2.0
494,-1.0,2.0
495,-1.0,2.0
496,-1.0,2.0
497,-1.0,2.0
498,-1.0,2.0
499,-1.0,2.0
500,-1.0,2.0
501,0.0,2.0
502,0.0,2.0
503,0.0,2.0
504,0.0,2.0
505,0.0,2.0
506,0.0,2.0
507,0.0,1.0
508,0.0,1.0
509,0.0,1.0
510,0.0,1.0
511,0.0,1.0
512,0.0,1.0
513,0.0,1.0
514,0.0,1.0
515,0.0,1.0
516,0.0,1.0
517,0.0,1.0
518,0.0,1.0
519,0.0,1.0
520,0.0,1.0
521,0.0,1.0
522,0.0,1.0
523,0.0,1.0
524,0.0,1.0
525,0.0,1.0
526,0.0,1.0
527,0.0,1.0
528,0.0,1.0
529,0.0,1.0
530,0.0,1.0
531,0.0,1.0
532,0.0,1.0
533,0.0,1.0
534,0.0,1.0
535,0.0,1.0
536,0.0,1.0
537,0.0,1.0
538,0.0,1.0
539,0.0,1.0
540,0.0,1.0
541,0.0,1.0
542,0.0,1.0
543,0.0,1.0
544,0.0,1.0
545,0.0,1.0
546,0.0,1.0
547,0.0,1.0
548,0.0,1.0
549,0.0,1.0
550,0.0,1.0
551,0.0,1.0
552,0.0,1.0
553,0.0,1.0
554,0.0,1.0
555,0.0,1.0
556,0.0,1.0
557,0.0,1.0
558,0.0,1.0
559,0.0,1.0
560,0.0,1.0
561,0.0,1.0
562,0.0,1.0
563,0.0,1.0
564,0.0,1.0
565,0.0,1.0
566,0.0,1.0
567,0.0,1.0
568,0.0,1.0
569,0.0,1.0
570,0.0,1.0
571,0.0,1.0
572,0.0,1.0
573,0.0,1.0
574,0.0,1.0
575,0.0,1.0
576,0.0,1.0
577,0.0,1.0
578,0.0,1.0
579,0.0,1.0
580,0.0,1.0
581,0.0,1.0
582,0.0,1.0
583,0.0,1.0
584,0.0,1.0
585,0.0,1.0
586,0.0,1.0
587,0.0,1.0
588,0.0,1.0
589,0.0,1.0
590,0.0,1.0
591,0.0,1.0
592,0.0,1.0
593,0.0,1.0
594,0.0,1.0
595,0.0,1.0
596,0.0,1.0
597,0.0,1.0
598,0.0,1.0
599,0.0,1.0
600,0.0,1.0
601,0.0,1.0
602,0.0,1.0
603,0.0,1.0
604,0.0,1.0
605,0.0,1.0
606,0.0,1.0
607,0.0,1.0
608,0.0,1.0
609,0.0,1.0
610,0.0,1.0
611,0.0,1.0
612,0.0,1.0
613,0.0,1.0
614,0.0,1.0
615,0.0,1.0
616,0.0,1.0
617,0.0,1.0
618,0.0,1.0
619,0.0,1.0
620,0.0,1.0
621,0.0,1.0
622,0.0,1.0
623,0.0,1.0
624,0.0,1.0
625,0.0,1.0
626,0.0,1.0
627,0.0,1.0
628,0.0,1.0
629,0.0,1.0
630,0.0,1.0
631,0.0,1.0
632,0.0,1.0
633,0.0,1.0
634,0.0,1.0
635,0.0,1.0
636,0.0,1.0
637,0.0,1.0
638,0.0,1.0
639,0.0,1.0
640,0.0,1.0
641,0.0,1.0
642,0.0,1.0
643,0.0,1.0
644,0.0,1.0
645,0.0,1.0
646,0.0,1.0
647,0.0,1.0
648,0.0,1.0
649,0.0,1.0
650,0.0,1.0
651,0.0,1.0
652,0.0,1.0
653,0.0,1.0
654,0.0,1.0
655,0.0,1.0
656,0.0,1.0
657,0.0,1.0
658,0.0,1.0
659,0.0,1.0
660,0.0,1.0
661,0.0,1.0
662,0.0,1.0
663,0.0,1.0
664,0.0,1.0
665,0.0,1.0
666,0.0,1.0
667,0.0,1.0
668,0.0,1.0
669,0.0,1.0
670,0.0,1.0
671,0.0,1.0
672,0.0,1.0
673,0.0,1.0
674,0.0,1.0
675,0.0,1.0
676,0.0,1.0
677,0.0,1.0
678,0.0,1.0
679,0.0,1.0
680,0.0,1.0
